lot,gridPoints,tpMoney
0.96,550,63228
0.96,550,63492
0.96,550,63756
0.96,550,64020
0.97,550,64286.75
0.97,550,64553.5
0.97,550,64820.25
0.97,550,65087
0.97,550,65353.75
0.98,550,65623.25
0.98,550,65892.75
0.98,550,66162.25
0.98,550,66431.75
0.98,550,66701.25
0.99,550,66973.5
0.99,550,67245.75
0.99,550,67518
0.99,550,67790.25
0.99,550,68062.5
1,550,68337.5
1,550,68612.5
1,550,68887.5
1,550,69162.5
1,550,69437.5
1.01,550,69715.25
1.01,550,69993
